TEAM_NAME,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,FG2M,FG2A,FG2_PCT,OUTCOME,DEFICIT_FGM,DEFICIT_FGA,DEFICIT_FG3M,DEFICIT_FG3A,DEFICIT_FTM,DEFICIT_FTA,DEFICIT_OREB,DEFICIT_DREB,DEFICIT_REB,DEFICIT_AST,DEFICIT_STL,DEFICIT_BLK,DEFICIT_TO,DEFICIT_PF,DEFICIT_FG2M,DEFICIT_FG2A
Nuggets,4,19,0.211,28,35,0.8,11,40,51,25,6,7,16,25,114,37,63,0.587301587,1,0.5,0.450549451,0.307692308,0.339285714,0.636363636,0.636363636,0.523809524,0.579710145,0.566666667,0.510204082,0.428571429,0.583333333,0.666666667,0.5,0.536231884,0.5
Mavericks,9,37,0.243,16,20,0.8,10,29,39,24,8,5,8,25,107,32,63,0.507936508,0,0.5,0.549450549,0.692307692,0.660714286,0.363636364,0.363636364,0.476190476,0.420289855,0.433333333,0.489795918,0.571428571,0.416666667,0.333333333,0.5,0.463768116,0.5
Heat,6,18,0.333,23,27,0.852,11,30,41,19,5,4,17,19,89,24,53,0.452830189,0,0.441176471,0.467105263,0.315789474,0.382978723,0.605263158,0.586956522,0.523809524,0.535714286,0.532467532,0.395833333,0.5,0.444444444,0.566666667,0.475,0.489795918,0.504761905
Warriors,13,29,0.448,15,19,0.789,10,26,36,29,5,5,13,21,104,25,52,0.480769231,1,0.558823529,0.532894737,0.684210526,0.617021277,0.394736842,0.413043478,0.476190476,0.464285714,0.467532468,0.604166667,0.5,0.555555556,0.433333333,0.525,0.510204082,0.495238095
Trail Blazers,6,26,0.231,18,20,0.9,11,37,48,22,5,1,12,18,94,29,61,0.475409836,0,0.486111111,0.497142857,0.428571429,0.530612245,0.5,0.512820513,0.611111111,0.5,0.52173913,0.523809524,0.357142857,0.333333333,0.631578947,0.45,0.5,0.484126984
Clippers,8,23,0.348,18,19,0.947,7,37,44,20,9,2,7,22,100,29,65,0.446153846,1,0.513888889,0.502857143,0.571428571,0.469387755,0.5,0.487179487,0.388888889,0.5,0.47826087,0.476190476,0.642857143,0.666666667,0.368421053,0.55,0.5,0.515873016
Thunder,11,29,0.379,20,28,0.714,10,33,43,25,8,9,17,19,101,24,52,0.461538462,0,0.460526316,0.48502994,0.407407407,0.446153846,0.588235294,0.595744681,0.476190476,0.523809524,0.511904762,0.5,0.4,0.75,0.586206897,0.5,0.489795918,0.509803922
Rockets,16,36,0.444,14,19,0.737,11,30,41,25,12,3,12,19,112,25,50,0.5,1,0.539473684,0.51497006,0.592592593,0.553846154,0.411764706,0.404255319,0.523809524,0.476190476,0.488095238,0.5,0.6,0.25,0.413793103,0.5,0.510204082,0.490196078
Knicks,8,22,0.364,15,20,0.75,5,31,36,22,5,6,21,32,79,20,46,0.434782609,0,0.5,0.485714286,0.5,0.55,0.326086957,0.322580645,0.263157895,0.508196721,0.45,0.511627907,0.277777778,0.75,0.583333333,0.653061224,0.5,0.46
Bucks,8,18,0.444,31,42,0.738,14,30,44,21,13,2,15,17,95,20,54,0.37037037,1,0.5,0.514285714,0.5,0.45,0.673913043,0.677419355,0.736842105,0.491803279,0.55,0.488372093,0.722222222,0.25,0.416666667,0.346938776,0.5,0.54
Lakers,8,24,0.333,16,23,0.696,8,27,35,26,4,1,11,26,102,31,52,0.596153846,0,0.513157895,0.493506494,0.470588235,0.444444444,0.380952381,0.389830508,0.4,0.509433962,0.479452055,0.65,0.333333333,0.25,0.55,0.634146341,0.525423729,0.52
Cavaliers,9,30,0.3,26,36,0.722,12,26,38,14,8,3,9,15,109,28,48,0.583333333,1,0.486842105,0.506493506,0.529411765,0.555555556,0.619047619,0.610169492,0.6,0.490566038,0.520547945,0.35,0.666666667,0.75,0.45,0.365853659,0.474576271,0.48
Pacers,6,18,0.333,10,12,0.833,12,32,44,22,8,4,12,20,96,34,71,0.478873239,0,0.555555556,0.511494253,0.315789474,0.367346939,0.322580645,0.333333333,0.444444444,0.484848485,0.47311828,0.564102564,0.571428571,0.444444444,0.444444444,0.540540541,0.641509434,0.568
